Message,Label
Congratulations! You have won a ₹10,000 Amazon gift card. Click the link to claim now,Spam
Your OTP for bank transaction is 458921. Do not share it with anyone,Anu
Limited time offer! Get 70% discount on mobile recharge. Act now,Spam
Team meeting scheduled at 11 AM tomorrow in conference room,Anu
You are selected for a free vacation package. Call now to confirm,Spam
Please submit the assignment by tonight on the college portal,Anu
Urgent! Your account will be blocked. Verify your details immediately,Spam
Lunch break is from 1 PM to 2 PM today,Anu
Exclusive deal just for you! Win cash rewards instantly,Spam
Project review has been postponed to Friday,Anu
